longitude,latitude
-114.59999152955972,36.131480589426374
-114.59518886337042,36.12680213102779
-114.59547953546104,36.1259067298219
-114.59656924910348,36.12502199241017
-114.60157607219637,36.131392191497774
-114.6110656493462,36.12372531507969
-114.6189967325838,36.129083724413476
-114.62032052576178,36.12288672069328
-114.62852093557858,36.13741072133886
-114.63427653931672,36.128053395609726
-114.64852945984109,36.12826199351656
-114.64536785808724,36.117962778459265
-114.65257012644308,36.1071607140097
-114.65964646523024,36.117588719161915
-114.675622476514,36.09409250600697
-114.72301328377877,36.07506657357058
-114.72141027895,36.04322810949557
-114.71116986818164,36.04435656683204
-114.70522233381263,36.035200295796066
-114.71938453227165,36.03472509806887
-114.72596953721778,36.01582070059588
-114.73564433147406,36.014004505823195
-114.72470453524286,36.02908737457773
-114.74094647576283,36.0354921103387
-114.75602787766324,36.02160469657531
-114.77487393935915,36.02251869812314
-114.77917727936693,36.032885964144604
-114.80583689288041,36.04850857248555
-114.80127014901211,36.05200749487473
-114.80931375662082,36.050568758934766
-114.8063359568474,36.06342337031721
-114.79951056152792,36.05522649107968
-114.791844761355,36.08137937943381
-114.80364834635687,36.07416276280501
-114.80255096397993,36.081122778780355
-114.81384608379147,36.08334837212035
-114.80583934958081,36.08703409998198
-114.8286501636506,36.101651969515515
-114.8222804930227,36.10624496559597
-114.85878117602071,36.11498897811719
-114.87475796978593,36.132261977066854
-114.84882377901383,36.12002417997507
-114.83163910337943,36.12067557775349
-114.8325610996137,36.13226590507526
-114.820371097799,36.12897130764079
-114.81942411210376,36.11872071258355
-114.81826476073336,36.12585131299897
-114.80644469887798,36.117555576166616
-114.79927756414757,36.12698250904596
-114.79045996375841,36.114894184125895
-114.78071748589674,36.125995772680206
-114.78312557049527,36.119314584116054
-114.78158316115528,36.11664436862803
-114.77586494900108,36.123998107232
-114.76791409353925,36.1156891692312
-114.78231890078979,36.10643797990533
-114.77616849145488,36.09998677272519
-114.77204629590408,36.11172458013089
-114.7617414989821,36.11280791317172
-114.76536075769894,36.116951511315726
-114.75278047556914,36.117868306626185
-114.76113836290045,36.13103750877796
-114.75083296871206,36.12781691713525
-114.75083196043478,36.139363987478625
-114.74641069464465,36.13185698355691
-114.73729916217233,36.13677217268617
-114.73446074190818,36.12164577925744
-114.72641048320708,36.125070111996294
-114.7283190761792,36.13622057526142
-114.72111655081149,36.124500580558006
-114.71927007146701,36.13248811371863
-114.709245874268,36.12509111792238
-114.72818269132632,36.14742139159251
-114.71373594848056,36.14764510838218
-114.71053534543692,36.158247521078806
-114.69198707308315,36.131772714941114
-114.69237368447584,36.14099012147953
-114.68080735159724,36.13144858095847
-114.65744693379082,36.14639699705397
-114.65042454460276,36.144670322657596
-114.65019233074439,36.13432132824716
-114.64288812857093,36.14231659840716
-114.65000305867753,36.14783958794359
-114.64956054772532,36.152491983286346
-114.63649313759231,36.155381788859536
-114.63791968140698,36.14922492620058
-114.62546832662395,36.14398832476607
-114.61790727283163,36.1491499253204
-114.62150393739638,36.140535179814286
-114.61285807399766,36.133090794244524
-114.58898246082796,36.153971388921406
-114.58543853468088,36.14847379415582
-114.56951686735852,36.158142928946944
-114.56909646462901,36.152600717470285
-114.55060652252185,36.15213331938039
-114.55352285275806,36.17292913447144
-114.5353460499484,36.15566799141804
-114.53515291750094,36.16519232986965
-114.5269249148075,36.1602576049184
-114.52992363867615,36.16482292693904
-114.52318524551352,36.161728406956534
-114.51908291687553,36.169186002845755
-114.50843164715415,36.16284852779399
-114.48865651775593,36.1656775319954
-114.49046052042752,36.15848133456819
-114.47768204885577,36.16349540171217
-114.46838610360965,36.156769729362196
-114.45411030902963,36.16469799761945
-114.4378811098467,36.15843199798134
-114.44756269878903,36.19033740708814
-114.43644343960356,36.19643413274507
-114.44807823024476,36.19699420070712
-114.43681565000776,36.20337641202075
