LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,t_param,s_param,fire_size_log
38.86833333,-120.235,3.0,Natural,Natural,1992,272,0,0.9278311436569487,0.9347104147634293,1.3862943611198906
39.295,-120.18666667,0.1,Smoking,Human,1992,215,1,0.28836573563797957,0.29190236601477226,0.09531017980432487
39.18611111,-120.18916667,0.1,Equipment and vehicle use,Human,1992,224,1,0.21462036824558456,0.20374095480167484,0.09531017980432487
38.99,-119.94,0.1,Arson/incendiarism,Human,1992,150,1,0.8266347587251653,0.7482177119460345,0.09531017980432487
38.91666667,-119.94,0.3,Natural,Natural,1992,160,0,0.8545680234112344,0.7884429658961715,0.262364264467491
38.94666667,-119.90666667,0.1,Natural,Natural,1992,177,0,0.8482097608347096,0.7768354454824782,0.09531017980432487
38.94666667,-119.88833333,0.1,Natural,Natural,1992,225,0,0.847750089331929,0.7761974955308468,0.09531017980432487
39.16333333,-119.925,0.1,Recreation and ceremony,Human,1992,224,1,0.5390746604419547,0.5379697018876071,0.09531017980432487
39.05,-119.91666667,0.3,Natural,Natural,1992,225,0,0.7279235178800961,0.6713589556034247,0.262364264467491
38.87166667,-119.99666667,0.1,Equipment and vehicle use,Human,1992,229,1,0.8644374683600632,0.8307751372121264,0.09531017980432487
39.05,-119.91666667,0.1,Natural,Natural,1992,225,0,0.7279235178800961,0.6713589556034247,0.09531017980432487
38.88666667,-119.95833333,0.1,Natural,Natural,1992,243,0,0.8611312939227393,0.7985390108689239,0.09531017980432487
38.975,-119.94333333,0.1,Recreation and ceremony,Human,1992,252,1,0.8411291466164725,0.7667823407495936,0.09531017980432487
38.96166667,-119.94333333,0.1,Smoking,Human,1992,286,1,0.847241181517827,0.7754681437869041,0.09531017980432487
38.87166667,-119.95833333,0.1,Natural,Natural,1992,137,0,0.8615147362516076,0.8003238588706424,0.09531017980432487
38.96833333,-119.99666667,0.5,Natural,Natural,1992,161,0,0.8633244715611175,0.8172178550148799,0.4054651081081644
38.90166667,-120.03333333,0.1,Smoking,Human,1992,163,1,0.8673540821367262,0.8490484560308972,0.09531017980432487
38.90166667,-120.03333333,0.1,Natural,Natural,1992,177,0,0.8673540821367262,0.8490484560308972,0.09531017980432487
38.91666667,-120.03333333,0.1,Smoking,Human,1992,187,1,0.8674549509030878,0.8491649970474184,0.09531017980432487
38.85833333,-120.10833333,0.1,Natural,Natural,1992,199,0,0.9261829589656103,0.934299841926643,0.09531017980432487
38.91666667,-120.03333333,0.1,Smoking,Human,1992,203,1,0.8674549509030878,0.8491649970474184,0.09531017980432487
38.91666667,-120.03333333,0.1,Smoking,Human,1992,225,1,0.8674549509030878,0.8491649970474184,0.09531017980432487
38.91666667,-119.94,0.1,Smoking,Human,1992,226,1,0.8545680234112344,0.7884429658961715,0.09531017980432487
39.01666667,-120.11666667,0.1,Smoking,Human,1992,240,1,0.017790185627089356,0.022242036110019545,0.09531017980432487
38.94666667,-120.125,0.1,Natural,Natural,1992,242,0,0.9337757116153227,0.9386496232007124,0.09531017980432487
38.94666667,-120.14333333,0.1,Natural,Natural,1992,242,0,0.9340640069168802,0.93878127965185,0.09531017980432487
