LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_opt,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt
38.90166667,-119.94,0.1,Recreation and ceremony,Human,1995,294,1,0.09531017980432487,0.8554167083449314,0.7906008525646041,5.638740028875918,0,0,0,,,
39.26666667,-120.05666667,0.1,Smoking,Human,1995,299,1,0.09531017980432487,0.32172644460138977,0.3258045008382835,3.009350795036707,1,1,1,1.0,1.0,1.0
39.06166667,-120.14333333,0.1,Misuse of fire by a minor,Human,1995,300,1,0.09531017980432487,0.10199183637842553,0.0961089191982322,1.1662199797117978,2,2,2,2.0,2.0,2.0
38.87333333,-119.89,0.1,Recreation and ceremony,Human,1995,304,1,0.09531017980432487,0.8533318722658627,0.7855502091123482,10.533073104108231,0,0,0,,,
39.03333333,-120.125,105.0,Debris and open burning,Human,1995,309,1,4.663439094112067,0.04923336112397271,0.04546759232304042,0.48814287340722257,2,2,2,2.0,2.0,2.0
39.06166667,-120.125,40.0,Debris and open burning,Human,1995,312,1,3.713572066704308,0.09353614654891887,0.08306618700904632,0.5261771514667233,2,2,2,2.0,2.0,2.0
38.91666667,-119.99666667,0.1,Smoking,Human,1996,162,1,0.09531017980432487,0.8639190444566934,0.8245268362484788,2.6967774609051487,0,0,0,0.0,0.0,0.0
39.04833333,-119.925,0.1,Natural,Natural,1996,178,0,0.09531017980432487,0.7340271362985384,0.6757370152802454,1.835372414552463,0,0,0,0.0,0.0,0.0
39.105,-120.19833333,0.1,Recreation and ceremony,Human,1996,188,1,0.09531017980432487,0.12121109325668811,0.13110374828371574,3.0797451043231683,2,2,2,2.0,2.0,2.0
39.05666667,-119.93,0.1,Natural,Natural,1996,181,0,0.09531017980432487,0.7206939419285657,0.666426569278535,1.2874357469932678,0,0,0,0.0,0.0,0.0
39.265,-120.0,0.3,Recreation and ceremony,Human,1996,205,1,0.262364264467491,0.4165363548892497,0.4081242658257325,1.8944954259213007,1,1,1,1.0,1.0,1.0
38.90166667,-120.07,0.1,Recreation and ceremony,Human,1996,210,1,0.09531017980432487,0.8813689987339882,0.8772811892239369,4.459715619190806,3,3,3,3.0,3.0,3.0
39.14833333,-120.18,0.1,Smoking,Human,1996,217,1,0.09531017980432487,0.18517501404168035,0.17513387837894967,2.51640509087895,2,2,2,2.0,2.0,2.0
38.975,-119.925,0.1,Recreation and ceremony,Human,1996,217,1,0.09531017980432487,0.8425855846732795,0.7684192146263084,2.235835769339505,0,0,0,0.0,0.0,0.0
39.25166667,-120.03833333,0.1,Smoking,Human,1996,220,1,0.09531017980432487,0.3400749269442981,0.33953355250566924,1.4944561400165088,1,1,1,1.0,1.0,1.0
39.195,-120.16833333,0.1,Natural,Natural,1996,225,0,0.09531017980432487,0.2178631342541403,0.205792940880059,3.716240637580616,2,2,2,2.0,2.0,2.0
38.87166667,-119.94,0.1,Natural,Natural,1996,225,0,0.09531017980432487,0.8600356584145246,0.7961636611849947,8.669526912979103,0,0,0,,,
39.17666667,-120.18,0.1,Natural,Natural,1996,227,0,0.09531017980432487,0.21453354730412955,0.20373156877490536,3.3666258550972805,2,2,2,2.0,2.0,2.0
39.22333333,-120.13166667,0.1,Natural,Natural,1996,227,0,0.09531017980432487,0.27446414911491246,0.27007225553532077,3.7785177676809982,2,2,2,2.0,2.0,2.0
38.87166667,-120.09,0.1,Natural,Natural,1996,193,0,0.09531017980432487,0.8840669246094138,0.8837464277741491,8.18381692130403,3,3,3,,,
39.27666667,-119.95666667,0.1,Natural,Natural,1996,227,0,0.09531017980432487,0.42903052756952786,0.42641588769165384,3.518096480393519,1,1,1,1.0,1.0,1.0
39.23666667,-120.05666667,0.1,Smoking,Human,1996,230,1,0.09531017980432487,0.3203794823715526,0.3235166750516155,0.2754141206219992,1,1,1,1.0,1.0,1.0
38.87166667,-120.09,0.2,Smoking,Human,1996,246,1,0.18232155679395465,0.8840669246094138,0.8837464277741491,8.18381692130403,3,3,3,,,
38.99,-119.90666667,1.5,Natural,Natural,1996,242,0,0.9162907318741551,0.79421798927855,0.72188708743454,4.137142643839738,0,0,0,0.0,0.0,0.0
38.96166667,-119.94333333,0.1,Misuse of fire by a minor,Human,1996,248,1,0.09531017980432487,0.847241181517829,0.775468143786966,0.5733441968786847,0,0,0,0.0,0.0,0.0
38.87166667,-119.99666667,0.1,Recreation and ceremony,Human,1996,248,1,0.09531017980432487,0.864437468360062,0.8307751372121777,7.594069983267789,3,3,3,,,
39.19333333,-120.11333333,0.1,Smoking,Human,1996,249,1,0.09531017980432487,0.2448961822259765,0.23631570854646008,1.1263406109355945,2,2,2,2.0,2.0,2.0
38.91666667,-120.05166667,0.1,Smoking,Human,1996,259,1,0.09531017980432487,0.8784525741593154,0.8737047922173439,2.6260272198048566,3,3,3,3.0,3.0,3.0
39.00333333,-120.10666667,0.1,Recreation and ceremony,Human,1996,261,1,0.09531017980432487,0.0027228418766287307,0.007758607285425321,0.04270154293025898,3,3,3,3.0,3.0,3.0
39.04666667,-120.14333333,3.0,Debris and open burning,Human,1996,274,1,1.3862943611198906,0.053367602042277015,0.04838274037826271,2.022719573502887,2,2,2,2.0,2.0,2.0
39.20833333,-120.16833333,0.1,Natural,Natural,1996,276,0,0.09531017980432487,0.2195148783629986,0.2075130733920259,4.887866829591414,2,2,2,2.0,2.0,2.0
38.94666667,-119.925,0.1,Recreation and ceremony,Human,1996,280,1,0.09531017980432487,0.8491495124284854,0.7781334828241045,2.6654638788589256,0,0,0,0.0,0.0,0.0
