LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
35.8683,-114.6058,4,4,Human-Caused,Equipment and vehicle use,0.1,2011
35.8639,-114.6028,4,4,Natural,Lightning,0.1,2011
36.0889,-114.91,4,4,Human-Caused,Equipment and vehicle use,0.1,2011
36.3485,-113.7098,3,3,Natural,Lightning,0.1,2012
36.235297,-113.789703,3,3,Natural,Lightning,50.0,2012
36.2063,-113.775497,3,3,Natural,Lightning,4345.0,2012
36.2733,-113.7872,3,3,Natural,Lightning,410.0,2012
36.525,-113.7242,3,3,Natural,Lightning,242.0,2012
36.4075,-113.7756,3,3,Natural,Lightning,540.0,2012
36.355,-113.7822,3,3,Natural,Lightning,0.1,2012
36.2715,-113.8246,3,3,Natural,Lightning,530.0,2012
36.3056,-113.960197,3,3,Natural,Lightning,0.1,2012
36.3201,-113.924697,3,3,Natural,Lightning,0.1,2012
36.4142,-113.954803,3,3,Human-Caused,Debris and open burning,4.0,2012
35.8375,-113.9472,1,1,Natural,Lightning,8.0,2012
35.84233,-113.95775,1,1,Natural,Lightning,26.0,2012
35.8572,-113.924897,1,1,Natural,Lightning,0.1,2012
35.975,-113.955,1,1,Natural,Lightning,798.0,2012
35.8417,-113.955,1,1,Natural,Lightning,0.3,2012
35.82658,-114.55819,4,4,Human-Caused,Equipment and vehicle use,0.1,2012
36.1158,-113.7033,1,1,Natural,Lightning,41.0,2012
35.9886,-113.8122,1,1,Human-Caused,Smoking,0.4,2012
35.9456,-113.8506,1,1,Human-Caused,Debris and open burning,4.0,2012
35.9667,-113.9333,1,1,Natural,Lightning,0.5,2012
36.0067,-114.7742,4,4,Human-Caused,Recreation and ceremony,0.1,2012
36.1367,-114.8653,4,4,Human-Caused,Equipment and vehicle use,0.1,2012
35.9767,-114.6947,4,4,Human-Caused,Equipment and vehicle use,0.1,2012
36.0356,-114.8014,4,4,Natural,Lightning,0.1,2012
35.9692,-114.08,1,1,Human-Caused,Equipment and vehicle use,0.1,2012
35.9772,-114.0919,1,1,Natural,Lightning,0.5,2012
35.8572,-114.5947,4,4,Human-Caused,Equipment and vehicle use,0.1,2012
35.966667,-114.083333,1,1,Natural,Lightning,0.1,2012
36.0544,-114.8197,4,4,Human-Caused,Equipment and vehicle use,0.1,2012
36.5006,-114.208,3,3,Natural,Lightning,7.8,2012
36.5478,-114.4511,2,2,Natural,Lightning,0.3,2012
35.9731,-114.97,4,4,Human-Caused,Arson/incendiarism,0.1,2012
36.4514,-114.8722,2,2,Human-Caused,Arson/incendiarism,14.0,2012
36.3853,-114.233,3,3,Human-Caused,Firearms and explosives use,4.0,2012
36.4578,-114.8789,2,2,Human-Caused,Recreation and ceremony,0.1,2012
36.1164,-114.9914,4,4,Human-Caused,Equipment and vehicle use,0.1,2012
36.4497,-114.9414,2,2,Human-Caused,Firearms and explosives use,0.1,2012
36.5394,-113.7656,3,3,Natural,Lightning,101.0,2013
36.5239,-113.7467,3,3,Natural,Lightning,0.1,2013
36.5875,-113.7706,3,3,Natural,Lightning,0.1,2013
36.5839,-113.7681,3,3,Natural,Lightning,0.1,2013
35.8872,-114.0408,1,1,Natural,Lightning,0.1,2013
35.913033,-113.9688,1,1,Natural,Lightning,53.0,2013
35.9478,-113.8986,1,1,Natural,Lightning,5803.0,2013
35.9092,-113.7,1,1,Human-Caused,Debris and open burning,0.1,2013
36.0225,-114.8344,4,4,Natural,Lightning,0.3,2013
36.0069,-114.7533,4,4,Human-Caused,Recreation and ceremony,0.1,2013
36.0042,-114.7636,4,4,Human-Caused,Recreation and ceremony,0.1,2013
35.9769,-114.983,4,4,Human-Caused,Debris and open burning,0.1,2013
36.1286,-114.9858,4,4,Human-Caused,Recreation and ceremony,0.1,2013
36.2453,-114.1428,3,3,Natural,Lightning,30.0,2013
36.428,-113.7755,3,3,Natural,Lightning,404.0,2014
35.8025,-113.8856,1,1,Natural,Lightning,0.8,2014
36.2467,-114.4917,2,2,Natural,Lightning,0.1,2014
36.1656,-114.9158,4,4,Human-Caused,Equipment and vehicle use,0.1,2014
36.1225,-114.7972,4,4,Natural,Lightning,0.1,2014
36.1722,-114.7642,4,4,Human-Caused,Equipment and vehicle use,0.1,2014
36.1353,-114.9078,4,4,Natural,Lightning,0.1,2014
36.3164,-114.4605,2,2,Human-Caused,Equipment and vehicle use,0.3,2014
36.0103,-114.7989,4,4,Natural,Lightning,0.1,2014
35.96088,-114.66218,4,4,Natural,Lightning,0.1,2014
36.0872,-114.2253,1,1,Natural,Lightning,0.1,2014
36.0981,-114.0453,1,1,Natural,Lightning,0.1,2014
35.9219,-114.9536,4,4,Natural,Lightning,0.1,2014
36.0258,-114.9047,4,4,Human-Caused,Recreation and ceremony,0.1,2014
36.31127,-114.22005,3,3,Natural,Lightning,5.0,2014
36.3356,-114.9481,2,2,Human-Caused,Equipment and vehicle use,0.1,2014
36.499,-114.7146,2,2,Human-Caused,Debris and open burning,43.0,2014
