LATITUDE,LONGITUDE,Cluster_Basin,Cluster_NearShore_Label,Near_Shore_2km,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
39.20138889,-119.97388889,2,Not in near-shore subset,0,Natural,Lightning,0.25,2017
39.24833333,-120.03166667,4,4,1,Human-Caused,Arson/incendiarism,0.01,2017
39.17416667,-119.92861111,2,2,1,Human-Caused,Recreation and ceremony,0.15,2017
38.9525,-119.93916667,1,1,1,Human-Caused,Recreation and ceremony,0.25,2017
38.94472222,-119.94555556,1,1,1,Human-Caused,Smoking,0.1,2017
38.92027778,-120.00444444,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.5,2017
38.92055556,-120.04555556,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2017
38.93555556,-120.03611111,1,1,1,Human-Caused,Smoking,0.1,2017
38.92722222,-120.04972222,1,1,1,Human-Caused,Recreation and ceremony,0.01,2017
38.92118,-119.92089,1,Not in near-shore subset,0,Natural,Lightning,0.1,2017
39.245111,-120.064861,4,2,1,Natural,Lightning,0.1,2016
39.235024,-120.013382,4,4,1,Human-Caused,Equipment and vehicle use,0.1,2016
39.068279,-120.129952,3,3,1,Human-Caused,Debris and open burning,0.01,2016
39.226084,-120.007723,4,4,1,Human-Caused,Debris and open burning,0.01,2016
38.948033,-119.938617,1,1,1,Human-Caused,Arson/incendiarism,0.5,2016
38.94695,-119.9347,1,1,1,Human-Caused,Arson/incendiarism,0.1,2016
39.165283,-120.143868,4,4,1,Human-Caused,Misuse of fire by a minor,0.01,2016
38.885459,-120.023116,1,Not in near-shore subset,0,Natural,Lightning,1.0,2017
39.240843,-120.030929,4,4,1,Human-Caused,Debris and open burning,0.01,2017
39.227046,-120.008142,4,4,1,Human-Caused,Debris and open burning,0.01,2017
38.90876,-120.011461,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.01,2017
38.92805556,-120.14388889,3,Not in near-shore subset,0,Natural,Lightning,0.1,2018
39.10222222,-120.20583333,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2018
38.94055556,-120.05472222,1,1,1,Human-Caused,Recreation and ceremony,0.01,2018
39.105,-120.23416667,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2018
39.06722222,-120.20222222,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2018
39.21916667,-120.13805556,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.01,2018
38.94388889,-119.89972222,1,Not in near-shore subset,0,Natural,Lightning,0.1,2018
38.965,-119.88833333,2,Not in near-shore subset,0,Natural,Lightning,0.1,2018
39.25805556,-120.01194444,4,4,1,Human-Caused,Recreation and ceremony,0.1,2018
38.9325,-119.90722222,1,Not in near-shore subset,0,Human-Caused,Smoking,0.1,2018
38.95055556,-119.94,1,1,1,Human-Caused,Recreation and ceremony,0.1,2018
39.00833333,-119.9475,1,1,1,Human-Caused,Equipment and vehicle use,0.1,2018
38.89555556,-120.0375,1,Not in near-shore subset,0,Human-Caused,Power generation/transmission/distribution,0.1,2018
38.97722222,-119.94083333,1,1,1,Human-Caused,Arson/incendiarism,0.01,2018
38.95111111,-119.93833333,1,1,1,Human-Caused,Recreation and ceremony,0.1,2018
38.92472222,-120.0825,1,Not in near-shore subset,0,Human-Caused,Power generation/transmission/distribution,0.1,2018
38.97611111,-119.94027778,1,1,1,Human-Caused,Misuse of fire by a minor,0.01,2018
39.26305556,-120.04583333,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2018
39.27638889,-119.97583333,2,Not in near-shore subset,0,Natural,Lightning,0.1,2018
39.26277778,-119.91666667,2,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.01,2018
38.93361111,-120.04972222,1,1,1,Human-Caused,Smoking,0.01,2018
39.06444444,-119.92583333,2,2,1,Natural,Lightning,0.6,2018
39.18859,-119.91359,2,2,1,Natural,Lightning,323.0,2018
38.867172,-120.03616,1,Not in near-shore subset,0,Human-Caused,Equipment and vehicle use,0.1,2018
39.243617,-120.032962,4,4,1,Human-Caused,Debris and open burning,0.01,2018
38.912003,-120.003793,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2018
38.893945,-119.998379,1,Not in near-shore subset,0,Human-Caused,Power generation/transmission/distribution,0.5,2005
38.941447,-119.963495,1,1,1,Human-Caused,Equipment and vehicle use,0.1,2006
38.929963,-119.984469,1,1,1,Human-Caused,Misuse of fire by a minor,0.1,2007
38.93436,-119.976913,1,1,1,Human-Caused,Smoking,0.1,2008
38.949055,-119.948296,1,1,1,Human-Caused,Smoking,0.1,2009
38.939124,-119.95712,1,1,1,Human-Caused,Arson/incendiarism,0.2,2010
38.937388,-120.037965,1,1,1,Human-Caused,Smoking,0.1,2010
39.22388889,-120.13666667,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2019
39.2075,-120.17944444,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2019
38.93,-119.94361111,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.01,2019
39.25611111,-120.07972222,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2019
38.90472222,-120.04277778,1,Not in near-shore subset,0,Human-Caused,Equipment and vehicle use,0.1,2019
39.10472222,-120.2,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2019
38.93861111,-119.91888889,1,Not in near-shore subset,0,Human-Caused,Smoking,0.1,2019
39.11055556,-120.17444444,3,3,1,Human-Caused,Recreation and ceremony,0.1,2019
38.94388889,-120.10027778,3,3,1,Human-Caused,Recreation and ceremony,0.1,2019
38.97222222,-119.93083333,1,1,1,Human-Caused,Arson/incendiarism,0.01,2019
39.2325,-120.13583333,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2019
39.00972222,-119.9475,1,1,1,Human-Caused,Recreation and ceremony,0.01,2019
38.93555556,-120.04388889,1,1,1,Human-Caused,Power generation/transmission/distribution,0.1,2019
39.13611111,-120.22138889,3,Not in near-shore subset,0,Human-Caused,Smoking,0.1,2019
38.92666667,-120.02444444,1,1,1,Human-Caused,Arson/incendiarism,0.1,2019
38.97222222,-119.93083333,1,1,1,Human-Caused,Arson/incendiarism,0.01,2019
39.05982,-120.13309,3,3,1,Human-Caused,Power generation/transmission/distribution,0.36,2019
39.259391,-119.968212,4,4,1,Human-Caused,Arson/incendiarism,6.5,2019
39.0587,-120.137047,3,3,1,Human-Caused,Debris and open burning,0.1,2020
39.19059,-120.034803,4,Not in near-shore subset,0,Human-Caused,Equipment and vehicle use,2.0,2020
39.193809,-120.119026,4,4,1,Human-Caused,Power generation/transmission/distribution,0.1,2020
39.234625,-120.016207,4,4,1,Human-Caused,Misuse of fire by a minor,0.1,2020
39.142367,-120.170434,3,3,1,Human-Caused,Debris and open burning,1.0,2020
39.254385,-120.067155,4,4,1,Human-Caused,Debris and open burning,0.07,2020
38.922822,-119.990043,1,Not in near-shore subset,0,Human-Caused,Debris and open burning,0.1,2020
39.240118,-120.026939,4,4,1,Human-Caused,Power generation/transmission/distribution,0.3,2020
38.932948,-119.979916,1,1,1,Human-Caused,Misuse of fire by a minor,0.1,2020
39.085851,-120.160351,3,3,1,Human-Caused,Debris and open burning,0.1,2020
39.174503,-120.137292,4,4,1,Human-Caused,Debris and open burning,0.9,2020
39.06174,-120.133116,3,3,1,Human-Caused,Debris and open burning,1.0,2020
39.190486,-120.032229,4,Not in near-shore subset,0,Human-Caused,Debris and open burning,5.0,2020
39.0587,-120.137047,3,3,1,Human-Caused,Debris and open burning,0.2,2020
39.062264,-120.130038,3,3,1,Human-Caused,Debris and open burning,0.1,2020
39.26743426,-119.901024,2,Not in near-shore subset,0,Natural,Lightning,0.1,2020
39.31889426,-119.93334601,2,Not in near-shore subset,0,Natural,Lightning,0.1,2020
39.08733824,-119.90701298,2,Not in near-shore subset,0,Human-Caused,Equipment and vehicle use,0.1,2020
39.16020024,-119.93348099,2,2,1,Human-Caused,Recreation and ceremony,0.1,2020
38.98050523,-119.93567997,1,1,1,Human-Caused,Arson/incendiarism,0.1,2020
39.30875526,-119.94301301,2,Not in near-shore subset,0,Natural,Lightning,0.1,2020
39.01551323,-119.95142698,1,1,1,Human-Caused,Recreation and ceremony,0.1,2020
39.17396125,-119.93191499,2,2,1,Human-Caused,Smoking,0.3,2020
39.09368224,-119.93153598,2,2,1,Natural,Lightning,0.1,2020
39.23017224,-120.10701303,4,Not in near-shore subset,0,Human-Caused,Equipment and vehicle use,1.8,2020
39.22706124,-120.10526303,4,4,1,Human-Caused,Equipment and vehicle use,0.1,2020
39.24450524,-120.09468003,4,Not in near-shore subset,0,Human-Caused,Equipment and vehicle use,1.2,2020
39.04461622,-120.12679101,3,3,1,Natural,Lightning,0.1,2020
38.97970421,-120.137813,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.5,2020
39.13686622,-120.20443003,3,Not in near-shore subset,0,Natural,Lightning,0.1,2020
39.21894923,-120.14015203,4,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2020
38.86644921,-119.99442996,1,Not in near-shore subset,0,Human-Caused,Debris and open burning,0.1,2020
38.95119923,-119.93876297,1,1,1,Human-Caused,Recreation and ceremony,0.1,2020
38.97510323,-119.95095997,1,1,1,Human-Caused,Recreation and ceremony,0.1,2020
38.88138821,-120.01129597,1,Not in near-shore subset,0,Natural,Lightning,0.1,2020
38.85978821,-120.00511296,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.3,2020
38.92708821,-120.06934598,1,1,1,Human-Caused,Smoking,0.1,2020
38.92733822,-120.04582998,1,1,1,Human-Caused,Arson/incendiarism,0.1,2020
38.92442221,-120.07056298,1,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2020
38.94656121,-120.09765199,3,3,1,Human-Caused,Smoking,0.1,2020
38.94083822,-120.05139598,1,1,1,Human-Caused,Recreation and ceremony,0.1,2020
38.94063822,-120.05122998,1,1,1,Human-Caused,Recreation and ceremony,0.1,2020
38.93605521,-120.08439599,1,3,1,Human-Caused,Arson/incendiarism,2.0,2020
38.85670521,-120.07306298,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.3,2020
38.87858821,-120.07257998,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2020
38.91280521,-120.04596298,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2020
38.91207221,-120.08101298,3,Not in near-shore subset,0,Natural,Lightning,0.1,2020
38.90012021,-120.04612998,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2020
38.93178821,-120.05606298,1,1,1,Human-Caused,Recreation and ceremony,0.1,2020
38.93277221,-120.05829598,1,1,1,Human-Caused,Debris and open burning,0.1,2020
38.92745522,-120.02646298,1,1,1,Human-Caused,Arson/incendiarism,0.1,2020
38.92800522,-120.02837398,1,1,1,Human-Caused,Recreation and ceremony,0.1,2020
38.85458821,-120.07597998,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.2,2020
38.85587221,-120.08021298,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.3,2020
38.85130521,-120.03739597,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2020
38.87517221,-120.11434598,3,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2020
38.92808821,-120.12626299,3,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2020
38.93050521,-120.145613,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.2,2020
