LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt,cluster_basin_opt
36.3008,-114.4339,0.1,Natural,Natural,2011,256,0,0.09531017980432487,0.7008690055484816,0.6745900036331616,0.5891315703955691,1,1,1.0,1.0,1.0,1
36.0347,-114.3203,0.3,Equipment and vehicle use,Human,2011,98,1,0.262364264467491,0.26265266789552827,0.2764658802055284,0.26153110723164896,0,0,0.0,0.0,0.0,0
36.1158,-114.8392,0.3,Arson/incendiarism,Human,2011,105,1,0.262364264467491,0.5093360457925349,0.5083711814125034,0.19412428039727292,3,3,3.0,3.0,3.0,3
36.0356,-114.8008,0.1,Natural,Natural,2011,112,0,0.09531017980432487,0.47389974350000164,0.4690815557046889,0.8963606388604455,3,3,3.0,3.0,3.0,3
36.1428,-114.6528,0.1,Natural,Natural,2011,112,0,0.09531017980432487,0.5999130449824627,0.5831269576836777,0.20248129025740658,3,3,3.0,3.0,3.0,3
36.1192,-114.8667,0.1,Natural,Natural,2011,184,0,0.09531017980432487,0.5041302846237191,0.5002763148258019,0.045091676608710225,3,3,3.0,3.0,3.0,3
36.1625,-113.8503,0.6,Natural,Natural,2011,211,0,0.4700036292457356,0.07179055959401534,0.06639509325464801,8.743967839912317,0,0,,,,0
36.1775,-113.7611,0.1,Natural,Natural,2011,211,0,0.09531017980432487,0.07907894644900937,0.0827095871080306,14.879333290291788,0,0,,,,0
36.1442,-113.8258,0.1,Natural,Natural,2011,211,0,0.09531017980432487,0.07206288826568537,0.06677442073828745,8.568428120484215,0,0,,,,0
35.8683,-114.6058,0.1,Equipment and vehicle use,Human,2011,219,1,0.09531017980432487,0.45840289039384297,0.4514601309214135,19.526192210388118,3,3,,,,3
35.8639,-114.6028,0.1,Natural,Natural,2011,297,0,0.09531017980432487,0.4584062897425389,0.451463693180209,20.08146706370216,3,3,,,,3
36.0889,-114.91,0.1,Equipment and vehicle use,Human,2011,341,1,0.09531017980432487,0.5046338812228536,0.5012964883476368,5.220844038628861,3,3,,,,3
36.3485,-113.7098,0.1,Natural,Natural,2012,193,0,0.09531017980432487,0.014639746828991072,0.012876346348141225,28.359742181286602,2,2,,,,2
36.235297,-113.789703,50.0,Natural,Natural,2012,193,0,3.9318256327243257,0.06544453800090745,0.05799329464787016,17.160437047494057,2,2,,,,2
36.2063,-113.775497,4345.0,Natural,Natural,2012,193,0,8.377011160816375,0.07888108403814464,0.082369586874788,17.64239372071658,2,2,,,,2
36.2733,-113.7872,410.0,Natural,Natural,2012,203,0,6.018593214496234,0.06521250460773674,0.05765588887316741,20.379012094309775,2,2,,,,2
36.525,-113.7242,242.0,Natural,Natural,2012,205,0,5.493061443340548,0.01453925709411366,0.012822967027043827,39.1795664873287,2,2,,,,2
36.4075,-113.7756,540.0,Natural,Natural,2012,206,0,6.293419278846481,0.014571700657806896,0.012838837666825031,26.623038082677645,2,2,,,,2
36.355,-113.7822,0.1,Natural,Natural,2012,206,0,0.09531017980432487,0.014607794242613199,0.012857890335667595,22.793032791704295,2,2,,,,2
36.2715,-113.8246,530.0,Natural,Natural,2012,225,0,6.274762021241939,0.0649882739212161,0.05732167817149347,18.223993039670663,2,2,,,,2
36.3056,-113.960197,0.1,Natural,Natural,2012,235,0,0.09531017980432487,0.014519757599212259,0.012813803501067022,6.917393656752341,2,2,,,,2
36.3201,-113.924697,0.1,Natural,Natural,2012,235,0,0.09531017980432487,0.014550430154648086,0.012828326582662964,10.17540960210744,2,2,,,,2
36.4142,-113.954803,4.0,Debris and open burning,Human,2012,79,1,1.6094379124341003,0.01445758512388856,0.012784830617166135,18.338335003506995,2,2,,,,2
35.8375,-113.9472,8.0,Natural,Natural,2012,193,0,2.1972245773362196,0.10036825113813289,0.11247393530656596,24.93340484225979,0,0,,,,0
35.84233,-113.95775,26.0,Natural,Natural,2012,193,0,3.295836866004329,0.10108012263744959,0.11362587001222493,24.80744816764149,0,0,,,,0
35.8572,-113.924897,0.1,Natural,Natural,2012,194,0,0.09531017980432487,0.08867491989970447,0.09387190521029767,20.10134693374382,0,0,,,,0
35.975,-113.955,798.0,Natural,Natural,2012,194,0,6.683360945766275,0.10233956862790602,0.11592933734141089,11.441890971369283,0,0,,,,0
35.8417,-113.955,0.3,Natural,Natural,2012,193,0,0.262364264467491,0.10096803196734414,0.11342959832349003,24.78150961178979,0,0,,,,0
35.82658,-114.55819,0.1,Equipment and vehicle use,Human,2012,178,1,0.09531017980432487,0.3694333232200851,0.36714549313384465,25.91653123388101,3,3,,,,3
36.1158,-113.7033,41.0,Natural,Natural,2012,193,0,3.7376696182833684,0.08520851424213956,0.08859641743539073,11.837819745323355,0,0,,,,0
35.9886,-113.8122,0.4,Smoking,Human,2012,136,1,0.33647223662121295,0.08864529434801861,0.09386994723188971,3.021087962324252,0,0,2.0,0.0,0.0,0
35.9456,-113.8506,4.0,Debris and open burning,Human,2012,142,1,1.6094379124341003,0.08867301080254085,0.09387186034054558,8.403478301802773,0,0,,,,0
35.9667,-113.9333,0.5,Natural,Natural,2012,225,0,0.4054651081081644,0.10186974483873176,0.1150765848665747,11.238885417872059,0,0,,,,0
36.0067,-114.7742,0.1,Recreation and ceremony,Human,2012,19,1,0.09531017980432487,0.4692804801397278,0.46370154989858503,1.5762838496240932,3,3,3.0,3.0,3.0,3
36.1367,-114.8653,0.1,Equipment and vehicle use,Human,2012,53,1,0.09531017980432487,0.5068094061551178,0.5036724297617068,0.77701932203487,3,3,3.0,3.0,3.0,3
35.9767,-114.6947,0.1,Equipment and vehicle use,Human,2012,111,1,0.09531017980432487,0.4583690111938009,0.4514250067589203,5.08396030392622,3,3,,,,3
36.0356,-114.8014,0.1,Natural,Natural,2012,146,0,0.09531017980432487,0.4739353104235398,0.4691563787110395,0.9260756494993828,3,3,3.0,3.0,3.0,3
35.9692,-114.08,0.1,Equipment and vehicle use,Human,2012,164,1,0.09531017980432487,0.20632172395004633,0.22408596695742536,6.148775115862317,0,0,,,,0
35.9772,-114.0919,0.5,Natural,Natural,2012,178,0,0.4054651081081644,0.20632710168836574,0.22408686251524593,4.795324404043063,0,0,2.0,0.0,0.0,0
35.8572,-114.5947,0.1,Equipment and vehicle use,Human,2012,185,1,0.09531017980432487,0.45839449274351696,0.45145144593930286,21.108394944346088,3,3,,,,3
35.966667,-114.083333,0.1,Natural,Natural,2012,193,0,0.09531017980432487,0.20632771577149617,0.2240869631698251,6.1953325826342756,0,0,,,,0
36.0544,-114.8197,0.1,Equipment and vehicle use,Human,2012,211,1,0.09531017980432487,0.4802299664885168,0.4739007194066009,0.8770134497762798,3,3,3.0,3.0,3.0,3
36.5006,-114.208,7.8,Natural,Natural,2012,198,0,2.174751721484161,0.7983976591983406,0.7858668161763699,10.261706672700038,2,2,,,,2
36.5478,-114.4511,0.3,Natural,Natural,2012,210,0,0.262364264467491,0.7690063237013849,0.7447645505181916,4.63121928560831,1,1,1.0,1.0,1.0,1
35.9731,-114.97,0.1,Arson/incendiarism,Human,2012,11,1,0.09531017980432487,0.4796688552660803,0.47340198884304713,16.82868666721503,3,3,,,,3
36.4514,-114.8722,14.0,Arson/incendiarism,Human,2012,72,1,2.70805020110221,0.5060903316243576,0.5027723284337382,35.420296503545025,1,1,,,,1
36.3853,-114.233,4.0,Firearms and explosives use,Human,2012,121,1,1.6094379124341003,0.813950914168583,0.8070388255668298,7.524762027525156,2,2,,,,2
